t;x;y;z;Aceleracao_0;Aceleracao_1;Aceleracao_2
16,128;0,001744597;0,609941876;1280,914111;0,000972754;9,809999999;0,0006601
16,192;0,001831232;0,612419068;1291,080096;0,001020678;9,809999999;0,000693582
16,256;0,001922253;0,614899244;1301,286263;0,001070837;9,809999999;0,000728728
16,32;0,002017891;0,617382538;1311,532611;0,001127237;9,809999999;0,000761307
16,384;0,002118418;0,619869057;1321,819142;0,001193673;9,809999999;0,000787351
16,448;0,002224116;0,622358904;1332,145854;0,001262344;9,809999999;0,000812395
16,512;0,002335209;0,62485226;1342,512748;0,001317163;9,809999999;0,000856618
16,576;0,002451941;0,627349307;1352,919824;0,001376597;9,809999999;0,000901142
16,64;0,00257457;0,629850231;1363,367081;0,00144005;9,809999998;0,000946578
16,704;0,002703374;0,632355223;1373,85452;0,001507177;9,809999998;0,000993342
16,768;0,00283864;0,634864483;1384,382141;0,001577795;9,809999998;0,001041729
16,832;0,002980672;0,637378215;1394,949944;0,001651833;9,809999998;0,001091956
16,896;0,003129787;0,639896634;1405,557928;0,001729283;9,809999998;0,001144188
16,96;0,003286316;0,642419962;1416,206095;0,001810183;9,809999998;0,001198561
17,024;0,003450606;0,644948431;1426,894443;0,001894598;9,809999997;0,001255185
17,088;0,003623017;0,647482284;1437,622973;0,001982609;9,809999997;0,001314162
17,152;0,003803924;0,65002177;1448,391684;0,002074307;9,809999997;0,001375582
17,216;0,003993718;0,652567153;1459,200577;0,00216979;9,809999997;0,00143953
17,28;0,004192807;0,655118705;1470,049652;0,002269157;9,809999996;0,001506084
17,344;0,004401614;0,657676709;1480,938909;0,002372507;9,809999996;0,001575323
17,408;0,004620578;0,660241461;1491,868348;0,002479938;9,809999995;0,00164732
17,472;0,004850157;0,662813267;1502,837968;0,002591547;9,809999995;0,001722145
17,536;0,005090827;0,665392444;1513,84777;0,002707424;9,809999994;0,001799868
17,6;0,005343078;0,667979325;1524,897754;0,002827659;9,809999994;0,001880554
17,664;0,005607422;0,670574251;1535,98792;0,002952334;9,809999993;0,001964266
17,728;0,005884387;0,673177579;1547,118267;0,00308153;9,809999993;0,002051063
17,792;0,006174523;0,675789676;1558,288796;0,003215318;9,809999992;0,002141003
17,856;0,006478396;0,678410924;1569,499507;0,003353768;9,809999991;0,002234138
17,92;0,006796592;0,681041718;1580,7504;0,003496941;9,80999999;0,002330515
17,984;0,007129718;0,683682466;1592,041474;0,003644892;9,809999989;0,002430181
18,048;0,007478399;0,686333589;1603,37273;0,00379767;9,809999988;0,002533174
18,112;0,007843281;0,688995524;1614,744168;0,003955317;9,809999987;0,002639531
18,176;0,00822503;0,691668721;1626,155788;0,004117868;9,809999986;0,002749283
18,24;0,008624332;0,694353642;1637,60759;0,004285348;9,809999985;0,002862456
18,304;0,009041892;0,697050765;1649,099573;0,004457775;9,809999984;0,002979071
18,368;0,009478439;0,699760582;1660,631738;0,004635159;9,809999983;0,003099145
18,432;0,009934717;0,7024836;1672,204084;0,004817499;9,809999981;0,003222692
18,496;0,010411496;0,705220337;1683,816613;0,005004785;9,809999979;0,00334972
18,56;0,010909561;0,70797133;1695,469323;0,005196997;9,809999978;0,003480234
18,624;0,01142972;0,710737127;1707,162215;0,005394106;9,809999976;0,003614235
18,688;0,011972801;0,713518291;1718,895289;0,005596072;9,809999973;0,003751722
18,752;0,012539651;0,716315399;1730,668545;0,005802845;9,809999971;0,003892694
18,816;0,013131135;0,719129044;1742,481982;0,006014366;9,809999969;0,004037146
18,88;0,01374814;0,721959831;1754,335601;0,006230567;9,809999966;0,004185077
18,944;0,014391569;0,724808379;1766,229402;0,006451371;9,809999963;0,004336485
19,008;0,015062347;0,727675325;1778,163384;0,006676694;9,80999996;0,004491373
19,072;0,015761413;0,730561316;1790,137549;0,006906446;9,809999956;0,004649748
19,136;0,016489726;0,733467015;1802,151895;0,007140531;9,809999953;0,004811626
19,2;0,017248264;0,7363931;1814,206423;0,007378849;9,809999949;0,004977031
19,264;0,018038018;0,739340263;1826,301132;0,007621296;9,809999945;0,005145998
19,328;0,018859999;0,742309212;1838,436024;0,00786777;9,80999994;0,005318577
19,392;0,019715231;0,745300666;1850,611097;0,008118163;9,809999936;0,005494836
19,456;0,020604757;0,748315366;1862,826352;0,008372373;9,809999931;0,005674861
19,52;0,021529633;0,751354062;1875,081788;0,008630296;9,809999926;0,005858761
19,584;0,022490929;0,754417526;1887,377407;0,008891832;9,80999992;0,006046672
19,648;0,023489732;0,757506544;1899,713207;0,009156885;9,809999914;0,006238759
19,712;0,024527142;0,76062192;1912,089189;0,009425361;9,809999908;0,006435217
19,776;0,025604271;0,763764479;1924,505353;0,009697171;9,809999902;0,00663628
19,84;0,026722246;0,766935063;1936,961698;0,009972231;9,809999895;0,006842221
19,904;0,027882207;0,770134538;1949,458225;0,010250458;9,809999887;0,007053354
19,968;0,029085306;0,773363791;1961,994934;0,010531776;9,809999879;0,00727004
20,032;0,030332708;0,776623734;1974,571825;0,01081611;9,809999871;0,007492692
20,096;0,03162559;0,779915306;1987,188897;0,011103388;9,809999862;0,007721774
20,16;0,032963882;0,783239099;1999,846152;0,011086419;9,809999801;0,007866737
20,224;0,034346854;0,786596198;2012,543588;0,010908351;9,809999787;0,008131035
20,288;0,035774759;0,78998851;2025,281205;0,01097012;9,809999822;0,008597071
20,352;0,03724774;0,793417987;2038,059005;0,011004524;9,809999838;0,009073665
20,416;0,038765821;0,796886624;2050,876986;0,011010854;9,809999841;0,009560225
20,48;0,040328911;0,800396451;2063,735149;0,010988601;9,809999836;0,010056306
20,544;0,041936799;0,803949537;2076,633494;0,010937045;9,809999827;0,010561282
20,608;0,04358915;0,807547983;2089,572021;0,010855282;9,809999816;0,011074323
20,672;0,045285502;0,81119392;2102,550729;0,010742284;9,809999805;0,011594392
20,736;0,047025259;0,814889502;2115,569619;0,010596952;9,809999795;0,012120265
20,8;0,048807689;0,8186369;2128,628691;0,01041817;9,809999785;0,012650555
20,864;0,050631917;0,822438299;2141,727945;0,010204841;9,809999776;0,013183728
20,928;0,052496926;0,826295887;2154,86738;0,009955915;9,809999768;0,013718123
20,992;0,054401544;0,830211852;2168,046997;0,009670406;9,80999976;0,014251963
21,056;0,056344449;0,834188369;2181,266796;0,009347402;9,809999753;0,014783364
21,12;0,058324161;0,838227597;2194,526777;0,008986073;9,809999746;0,015310335
21,184;0,06033904;0,842331668;2207,826939;0,008585674;9,80999974;0,01583078
21,248;0,062387283;0,846502678;2221,167283;0,008145547;9,809999734;0,016342497
21,312;0,064466923;0,850742677;2234,547809;0,007665126;9,809999728;0,016843167
21,376;0,066575824;0,855053662;2247,968517;0,007143939;9,809999723;0,017330351
21,44;0,068711684;0,859437561;2261,429406;0,006581616;9,809999718;0,017801478
21,504;0,070872028;0,863896228;2274,930477;0,005977893;9,809999714;0,018253828
21,568;0,073054216;0,868431427;2288,47173;0,005332626;9,809999711;0,01868452
21,632;0,075255432;0,873044821;2302,053165;0,004645803;9,809999709;0,019090493
21,696;0,077472695;0,877737957;2315,674781;0,00391757;9,809999708;0,019468482
21,76;0,079702853;0,882512256;2329,33658;0,003148251;9,809999708;0,019815
21,824;0,08194259;0,887368992;2343,03856;0,002338386;9,809999709;0,020126311
21,888;0,084188424;0,89230928;2356,780721;0,001488773;9,809999712;0,020398405
